ID	Entry_ID	Segments	Meaning	reconstructed
315	3053-gonosz	ɡ o n o s	sittlich, schlecht, unheilvoll, schlimm, krank, Übel, Schaden, Schandtat, Sünde, böser, Geist, Teufel, sittlich, schlechter, böser, Mensch, Anstoß, erregen, Anstoß, nehmen, etw, Skandal, moralisch, verderben	^(k|ɡ)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(n)(u|o|a)(s|ʃ|z)$
316	3067-gobe	ɡ ø b ɛ	Sau, ungeschlacht, albern	^(k|ɡ)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(b)(ɛ|ɛ.ɣ)(i|y|ɛ)?$
317	3072-godeny	ɡ ø d eː ɲ	Pelikan, Möwe, Reiher, Trunkenbold, Vielfraß	^(k|ɡ)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(d|l.d|w.d|n.d)(ɛ|i)(n)$
318	3076-gogos	ɡ øː ɡ ø ʃ	hochmütig, aufgeblasen, großem, Kehlkopf, Adamsapfel	^(k|ɡ)(ɛ|ø|ɛ.w|ɛ.y|y|ɛ.ɣ.y|øː)(ɡ)(ɛ|y)(t͡ʃ|ɣ|ʃ|l.t͡ʃ)$
320	3091-goreny	ɡ ø r eː ɲ	Iltis, Mensch	^(k|ɡ)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(r)(ɛ|i|eː|ø|y|a|e|ɛ.j)(n)$
321	3095-gorog	ɡ ø r ø ɡ	rollen, donnern, donnert, rinnen, rieseln, begatten, Schwein, grunzen, Steinschlag, Lawine, Donner, rund, Rolle, Gegenstand, Donner	^(k|ɡ)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(r)(ɛ|y|ø|i)(ɡ|k)$
322	3096-gorog	ɡ ø r ø ɡ	griechisch, Grieche, Kaufmann	^(k|ɡ)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(r)(ɛ|y|ø|i)(ɡ|k)$
323	3140-gubacs	ɡ u b ɒ t͡ʃ	Kokon	^(k|ɡ)(u|ɯ|u.w.a|u.ɣ)(b)(a|ɒ|o|a.ɣ)?(t͡ʃ|l.t͡ʃ)(i)?$
324	3151-gulya	ɡ u j ɒ	Rind, Rinderherde, Frühjahr, Herbst, Weide	^(k|ɡ)(u|ɯ|u.w.a|u.ɣ)(l|j|j.a|ɣ)(a|a.ɣ|a.w)?$
325	3168-guta	ɡ u t ɒ	Gehirnschlag, mildes	^(k|ɡ)(u|ɯ|u.w.a|u.ɣ)(t|l.t)(a|a.ɣ|a.w|ɒ)?(i)?$
327	3175-gugye	ɡ y ɟ ɛ	albern, unbeholfen	^(k|ɡ)(y|i|ɛ)(l.d|d)(ɛ|ɛ.ɣ)(i|y|ɛ|u)?$
328	3179-guzu	ɡ y z y	Art, Tier, Maulwurf, Ratte, usw, Langschläfer, hamstern	^(k|ɡ)(y|i|ɛ)(z|s)(y.ɣ|y|ɛ.ɣ.y|i.ɣ)(i|y)?$
329	3182-gyak	ɟ ɒ k	stechen, geschlechtlich, verkehren, sticheln, Stechen, Pfahl	^(d͡ʒʲ|ɟ)(a|ɒ|o|a.ɣ)?(k|ɡ)(i|y|ɛ|u)?$
330	3195-gyanta	ɟ ɒ n.t ɒ	Bernstein, Harz, Glasur	^(d͡ʒʲ|ɟ)(a|ɒ|o|a.ɣ)?(n.t)(a|a.ɣ|a.w|ɒ)?(i)?$
331	3212-gyekeny	ɟ eː k eː ɲ	Rohrkolben, Matte	^(d͡ʒʲ)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(k)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ)(n)$
332	3215-gyep	ɟ ɛ p	Rasen, unbebautes, Feld, Pferderennbahn, 1798, verrosten	^(d͡ʒʲ|ɟ)(ɛ|i|y|ø|a)(p)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a)?$
333	3218-gyepu	ɟ ɛ p yː	Hag	^(d͡ʒʲ|ɟ)(ɛ|i|y|ø|a)(p)(i.ɣ|y.ɣ|ɛ.ɣ|ɛ.ɣ.y|y)(i)?$
334	3233-gyopar	ɟ o p aː r	Edelweiß, Dost, (Gnaphalium	^(d͡ʒʲ|ɟ)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(p)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(r)$
335	3235-gyota	ɟ oː t ɒ	Wald, weide	^(d͡ʒʲ|ɟ)(a|u|uː|a.u|i|a.w|i.ɣ|a.w.u|aː)(t|l.t)(a|a.ɣ|a.w|ɒ)?$
336	3236-gyoker	ɟ ø k eː r	Geschlecht, Stamm, Wurzel, Pflanze, Innere, Grund, Ursprung, Wurzel, Math	^(d͡ʒʲ|ɟ)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(k)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(r)$
337	3240-gyongy	ɟ ø n.ɟ	Mistel, echte, Perle, unechte, Perle, Glasperle, Knospe, rundliche, Oberfläche, Perlen, schmücken, perlen	^(d͡ʒʲ|ɟ)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(n.d͡ʒʲ)(i|y|ɛ|u|i.ɣ|a.t|ɛk)?$
338	3242-gyonyoru	ɟ ø ɲ ø r yː	herrlich, wunderschön	^(d͡ʒʲ)(ɛ|y|ø|i|y.ɣ.y)(n|m)(ɛ|y)(r)(i.ɣ|y.ɣ|ɛ.ɣ|ɛ.ɣ.y|y)$
339	3248-gyula	ɟ u l ɒ	oberster, Richter, od, Heerführer, Ungarn, Z, Landnahme	^(d͡ʒʲ|ɟ)(u|ɯ|u.w.a|u.ɣ)(l|r.l|l.k)(a|a.ɣ|a.w|ɒ)?$
340	3249-gyur	ɟ uː r	kneten, bereden, überzeugen, suchen, massieren, Körperbehandlung, Masseur, Knetmasse	^(d͡ʒʲ|ɟ)(u|uː|u.ɣ|u.ɣ.u|i|o|o.ɣ|i.ɣ.u)(r)(i|y|ɛ|u|i.ɣ|a.t)?$
341	3253-gyumolcs	ɟ y m ø l.t͡ʃ	Frucht, Obst, Leibesfrucht, Sproß, Frucht	^(d͡ʒʲ|ɟ)(y|i|ɛ)(m)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(l.t͡ʃ|t͡ʃ)(i)?$
342	3254-gyumolcseny	ɟ y m ø l.t͡ʃ eː ɲ	Art, Gestrüpp	^(d͡ʒʲ)(y|i|ɛ)(m)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(l.t͡ʃ|t͡ʃ)(ɛ|i|eː)(n)$
343	3257-gyuru	ɟ yː r yː	Ahorn-, od	^(d͡ʒʲ|ɟ)(y|yː|y.ɣ.y|ɛ.w.y|i.ɣ.i|ɛ.ɣ.i|y.ɣ|i|i.ɣ|ø)(r)(i.ɣ|y.ɣ|ɛ.ɣ|ɛ.ɣ.y|y)$
345	3274-haboru	h aː b o r uː	Tumult, Getümmel, Unruhe, Sturm, Gewitter, Krieg, Krieg, stürmisch, unruhig, erregt, zornig, uneinig, aufgeregt, erregt, zornig, uneinig, verrückt, verwirrt	^(h|x)?(a)(b)(u|o|a|ɒ|o.ɣ.o|ɯ)?(r)(a.ɣ|u.ɣ|u|a.ɣ.u|o.ɣ)$
346	3282-had	h ɒ d	Heer, Krieg, Trupp, Haufen, Trupp, Haufen, Sippe, Krieg	^(h|x)?(a|ɒ|o|a.ɣ)?(n)(i|y|ɛ|u|i.ɣ|a.t)?$
348	3290-hagy	h ɒ ɟ	verlassen, lassen, tun, geschehen, vererben, hinterlassen, befehlen, anordnen, jemanden, Zustand, Ort, lassen, anvertrauen, überlassen, anvertrauen, überlassen, Sache, aufhören, bleiben, lassen, verkaufen, aufschieben, übriglassen, aufschieben, übriglassen, Spur, usw, hinterlassen, genehmigen, zulassen, bewilligen, Scheidung, Nachlaß, Tradition, nachlassen, Lassen, a	^(h|x)?(a|ɒ|o|a.ɣ)?(ɟ)(i|y|ɛ|u|i.ɣ|a.t)?$
350	3301-haj	h ɒ j	Kopfhaar, Kopfhaar, Ähre, Haar, Pflanzen, bzw, Seide, Mais, Faden	^(h|x)?(a|ɒ|o|a.ɣ)?(l|j|ɣ.y.l)(i|y)?$
351	3303-haj	h aː j	Salbe	^(h|x)?(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(l|j|ɣ.y.l)(i)?$
352	3319-hajo	h ɒ j oː	Schiff, Schiff, Kirche, Luftschiff, Kahn	^(h|x)?(a)(l|j|j.a|ɣ)(a.ɣ|u.ɣ|a.ɣ.u|i.ɣ|o.ɣ|uɣ|ɯ.ɣ|u.j|a.w)$
353	3328-hal	h ɒ l	bewegen, aufhören, erstarren, absterben, verkümmern, Teil, Organismus, sterben, Tatkraft, verlieren, außer, Gebrauch, kommen, Gegenstand, ohnmächtig, ermatten, erschlaffen, aufgehen, verlieren, aussterben, zugunsten, jemandes, Testament, Tote, sterblich, Tod	^(h|x)?(a|ɒ|o|a.ɣ)?(l|j)?(i|y)?$
354	3329-hal	h ɒ l	Fisch, unerfahrener, Mensch, Anfänger, Fischer, fischen	^(h|x)?(a|ɒ|o|a.ɣ)?(l|j)?(i|y)?$
355	3330-hal	h aː l	übernachten, schlafen, übernachten, schlafen, Geschlechtsverkehr, ausüben, Schlafzimmer	^(h|x)?(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(l|j)?(i)?$
356	3331-hala	h aː l ɒ	Dank, Danksagung, dankbar, Danksagung	^(h|x)?(a|aː|a.ɣ.a)(l|r.l|l.k)(a|a.ɣ|a.w|ɒ)?$
357	3332-halad	h ɒ l ɒ d	Lebewesen, verzögern, aufgeschoben, übersteigen, Weg, usw, neben, vorbeigehen, a	^(h|x)?(a|ɒ|o|a.ɣ)?(l|r.l|l.k)(a|ɒ|o)(n)$
358	3340-hall	h ɒ lː	hören, vernehmen, zuhören, Gehör, schenken, Hören, hören, lassen	^(h|x)?(a|ɒ|o|a.ɣ)?(l)(i|y|ɛ|u|i.ɣ|a.t)?$
359	3346-halom	h ɒ l o m	niedriger, Hügel, Haufen, Stoß, Menge, häufen	^(h|x)?(a|ɒ)(l|r.l|l.k)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(m)$
360	3351-hamar	h ɒ m ɒ r	schnell, kurzer, Zeit, kurzer, Zeit, bald, schnell, plötzlich, rasch, früh, eher, Wettbewerb, schnell, eher	^(h|x)?(a|ɒ|o|a.ɣ)?(m)(a|ɒ|o|a.ɣ)?(r)(i)?$
361	3352-hamis	h ɒ m i ʃ	arglistig, böse, unwahr, unecht, falsch, schelmisch, falsch, Musik, Singen, bös, bissig, Tier, fälschen	^(h|x)?(a|ɒ)(m)(i|a|y|ɛ|ɯ)(t͡ʃ|ɣ|ʃ|l.t͡ʃ)$
362	3356-hamu	h ɒ m u	Asche, Leiche, Asche, bedeckt, od, gefüllt, aschgrau, flaumig, duftig, Obst, a, samtig	^(h|x)?(a|ɒ|o|a.ɣ)?(m)(u.ɣ|u|a.ɣ)(i|y)?$
363	3367-hang	h ɒ n.ɡ	Ton, Schall, Klang, Stimme, Laut, Ton, Schall, Klang, Stimme, Laut, Wort, Redeweise, Sprechweise, Ton, Gesang, Musik, Vokal	^(h|x)?(a|ɒ|o|a.ɣ)?(ng|mː.ɛ.ɡ|n.ɡ)(i|y)?$
365	3375-hany	h ɒ ɲ	Sumpf, Sumpf	^(h|x)?(a|ɒ|o|a.ɣ)?(n|m)(i|y|ɛ)?$
366	3391-harag	h ɒ r ɒ ɡ	Zorn, Zorn, zornig, zornig, Zorn	^(h|x)?(a|ɒ|o|a.ɣ)?(r|j.r|w.r)(a|ɒ)(ɡ|k)$
367	3397-harang	h ɒ r ɒ n.ɡ	Glocke, Glöckchen, Glocke, Gegenstand, egy, a	^(h|x)?(a|ɒ|o|a.ɣ)(r|j.r|w.r)(a)(ng|mː.ɛ.ɡ|n.ɡ)$
370	3419-harom	h aː r o m	drei, dritter, Drittel, Terz, Music, verdreifachen, Dreifaltigkeit	^(h|x)?(a|aː|a.ɣ.a|a.ɣ.i|i)(r)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(m)$
371	3421-hars	h aː r.ʃ	Linde, Strick, Bast	^(h|x)?(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(r.t͡ʃ)(i|y|ɛ|u)?$
372	3433-haszon	h ɒ s o n	Ertrag, Nutztieren, Vorteil, Nutzen, Wert, Einnahme, Einkommen, Gewinn, Wirksamkeit, Sache, Erfolg, Ergebnis, Sache, Möglichkeit, Vermögen, Geeignetheit, Anwendbarkeit, Verwendung, Inanspruchnahme, Nützlichkeit, Anwendung, Benutzung, nützlich, gebräuchlich, unnütz, Adj, vergeblich, Adv, unnütz, unbenutzt, aki, vagy, ami, gebraucht, Adj	^(h|x)?(a|ɒ|o|a.ɣ)?(s)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(n)$
373	3436-hat	h ɒ t	sechs, sechster, Sechstel, Sexte, Musik	^(h|x)?(a|ɒ|o|a.ɣ)?(t)(i|y|ɛ|u|i.ɣ|a.t)?$
374	3437-hat	h aː t	Erdoberfläche, Rücken, Körpers, Rückseite, Rückenteil, Kleides, usw, Lehne, hinterer, Teil, Gegenstandes	^(h|x)?(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(t)(i|y|ɛ|u)?$
375	3442-hatar	h ɒ t aː r	Grenze, Landesgrenze, gesetzte, Bestimmung, Grenze, Gemarkung, Haufen, bestimmen, begrenzen, definieren, beschließen, zählen, gelten, Horizont, Adjektiv, Adverb, Horizont, Entschluß, Bescheid, Beschluß, grenzenlos	^(h|x)?(a|ɒ|o)(t|l.t)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(r)$
377	3450-haz	h aː z	Gebäude, Wohnort, Aufenthaltsort, haus, Zimmer, Geschlecht, Familie, Palast, Burg, Haushalt, Dynastie, Handelshaus, Firma, Zuschauerraum, Theater, Gehäuse, Abgeordnetenhaus, Haus, habend	^(h|x)?(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(z)(i|y|ɛ|u)?$
378	3456-hazug	h ɒ z u ɡ	unwahr, Lügner	^(h|x)?(a|ɒ|o)(z|s)(u|ɯ|u.w.a|u.ɣ)(ɡ|k)$
379	3473-hegy	h ɛ ɟ	Berg, Spitze, Haufen, spitzig, hochmütig, sticheln	^(h|x)?(ɛ|i|y|ø|a)(ɟ)(i|y|ɛ|u|i.ɣ|a.t)?$
380	3488-hely	h ɛ j	Ort, Behörde, Ort, Stelle, Text, Stelle, Platz, Reihenfolge, Lage, Platz, Raum, Rechtsgrund, stellung, setzen, stellen, setzen, stellen	^(h|x)?(ɛ|i|y|ø|a)(l|j|ɣ.y.l)(i|y)?$
381	3489-helyes	h ɛ j ɛ ʃ	Hufe, habend, wahr, richtig, nett, hübsch	^(h|x)?(ɛ|i|y)(l|j|j.a|ɣ)(ɛ)(t͡ʃ|ɣ|ʃ|l.t͡ʃ)$
383	3510-herceg	h ɛ r.t͡s ɛ ɡ	Heerführer, Edelmann, vornehmer, Amtsträger, Prinz, Rang, hohen, Adel	^(h|x)?(ɛ|i|y|ø|a)(s|r.s)(ɛ|i)(ɡ|k)$
384	3536-het	h eː t	sieben, siebenter	^(h|x)?(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(t)(i|y)?$
385	3537-het	h eː t	Woche	^(h|x)?(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(t)(i|y)?$
387	3554-heviz	h eː v iː z	Thermalquelle, Thermalbad	^(h|x)?(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ)(v|w)(i|iː)(z)$
388	3562-hid	h iː d	Brücke, Bauwerk, Stall, Verbindungsteil, Tisch, Brücke, Zahnersatz, Brücke, überbrücken, überbrücken, Steg, Fußboden	^(h|x)?(i|iː)(n)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
389	3563-hideg	h i d ɛ ɡ	kalt, schroff, unfreundlich, gleichgültig, leblos, Kälte, Schüttelfrost, Fieber, Frost, kaltes, Gericht, Schauder, Kälteempfinden, erkälten, etw, abkehren	^(h|x)?(i|a|y|ɛ|ɯ)(d|l.d|w.d|n.d)(ɛ)(ɡ|k)$
390	3577-him	h iː m	Eber, männliches, Lebewesen, Bot	^(h|x)?(i|iː)(m)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
391	3578-him	h iː m	Zierde, Muster, Stickerei, Verwicklung, Kniff, Kunstgriff, winden, malen, sticken	^(h|x)?(i|iː)(m)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
392	3592-hir	h iː r	Kenntnis, Nachricht, Ruhm, berühmt, berühmt, Kundgebung, berüchtigt	^(h|x)?(i|iː)(r)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
393	3597-hisz	h i s	glauben, denken, vertrauen, jmdn, glauben, überheben, Gläubige, Irreführung, Meinung	^(h|x)?(i|a|y|ɛ|ɯ)(s|ʃ|z)(i|y)?$
394	3601-hit	h i t	Vertrauen, Vertrauen, Glaube, Glaube, Ehre, Ehrenwort, religiöser, Glaube, Eid, Religion, ungläubig, eingeschworen, legitim, Angetraute, treu, treulos, abfallen, Glaube	^(h|x)?(i|a|y|ɛ|ɯ)(t)(i|y|ɛ|u|i.ɣ|a.t)?$
397	3613-hivatal	h i v ɒ t ɒ l	Berufung, Pflicht, Rufen, Ruf, Amt, Würde, Beschäftigung, Arbeitskreis, Amt, Behörde, geladen, berufen, amtlich, offiziell	^(h|x)?(i|a|y)(v|w)(a)(t|l.t)(a)(l|j)?$
398	3615-hizik	h iː z i k	Fett, ansetzen, dick, zunehmen, Schwein, Schlachtvieh, erfrischen, mästen, Ruheplatz	^(h|x)?(i|iː)(z|s)(i|a|y|ɛ|ɯ)(k|ɡ)$
399	3616-ho	h oː	Schnee, Schneeberg	^(h|x)?(a.ɣ|u.ɣ|a.ɣ.u|i.ɣ|o.ɣ|uɣ|ɯ.ɣ|u.j|a.w|a|u)(i|y|ɛ)?$
400	3617-ho	h oː	Mond, Monat	^(h|x)?(a.ɣ|u.ɣ|a.ɣ.u|i.ɣ|o.ɣ|uɣ|ɯ.ɣ|u.j|a.w|a|u)(i|y|ɛ)?$
401	3622-hod	h oː d	Biber, Fischotter	^(h|x)?(a|u|uː|a.u|i|a.w|i.ɣ|a.w.u|aː)(n)(i|y|ɛ)?$
403	3643-hollo	h o lː oː	Rabe	^(h|x)?(u|o)(l|lː|ɣ.l)(a.ɣ|u.ɣ|a.ɣ.u|i.ɣ|o.ɣ|uɣ|ɯ.ɣ|u.j|a.w|a|u)$
404	3655-homok	h o m o k	Sand	^(h|x)?(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(m)(u|o|a|ɒ)?(k)$
405	3657-homoru	h o m o r uː	innen, gewölbt, eingefallen, erhöht, gewölbt	^(h|x)?(u|o|a)?(m)(u|o)(r)(a.ɣ|u.ɣ|u|a.ɣ.u|o.ɣ)$
406	3660-hon	h o n	Vaterland, Heimat	^(h|x)?(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(n)(i|y|ɛ|u)?$
408	3688-horka	h o r.k ɒ	Würdenträger, Befugnis, Richters	^(h|x)?(u|o|a|ɒ|o.ɣ.o|ɯ)?(r.k)(a|a.ɣ|a.w|ɒ)?$
409	3693-horog	h o r o ɡ	Angel, Haken, Engpaß, Benennung, Bewegungen, versch, Sportarten, heute, haupts, Boxen, Basketball, angeln, biegen, häkeln	^(h|x)?(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(r)(u|o|a)(ɡ|k)$
410	3697-hort	h o r.t	Jagdhund, Windhund	^(h|x)?(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(r.t|r.a.t)(i|y)?$
411	3701-horvat	h o r.v aː t	Kroate, Art, Husar, kroatisch	^(h|x)?(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(r.ɣ|r.v|r|r.y.ɣ)(a|aː)(t)$
412	3704-hosszu	h o sː uː	lang, räumlich, lang, zeitlich, umfangreich, Länge, verschieben, verlängern, lange, längs	^(h|x)?(u|o|a|ɒ|o.ɣ.o|ɯ)?(s)(a.ɣ|u.ɣ|u|a.ɣ.u|o.ɣ)$
413	3712-ho	h øː	warm, heiß, glühend, leidenschaftlich, Seele, Gefühl, Hitze, Wärme, Glut, Gefühls, heiß	^(h|x)?(ɛ.ɣ|i.ɣ|yː)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ)?$
416	3722-hos	h øː ʃ	Jüngling, Junggeselle, mutiger, Mann, Held, Soldat, Romans, Dramas, Ereignisses, tapfer, heroisch, unverheiratet, heldenhaft, Haltung, usw, Jüngling, Kühnheit	^(h|x)?(ɛ|ø|ɛ.w|ɛ.y|y|ɛ.ɣ.y|øː)(t͡ʃ|ɣ|ʃ|l.t͡ʃ)(i)?$
417	3725-hug	h uː ɡ	Anrede, Frau, Schwester, Nichte, Klosterfrau, Nonne, jüngere, Schwester	^(h|x)?(u|uː|u.ɣ|u.ɣ.u|i|o|o.ɣ|i.ɣ.u)(ɡ|k)(i|y)?$
418	3727-hugy	h uː ɟ	Harn	^(h|x)?(u|uː|u.ɣ|u.ɣ.u|i|o|o.ɣ|i.ɣ.u)(ɟ)(i|y|ɛ|u)?$
419	3728-hugy	h uː ɟ	Stern, Gestirn	^(h|x)?(u|uː|u.ɣ|u.ɣ.u|i|o|o.ɣ|i.ɣ.u)(ɟ)(i|y|ɛ|u)?$
420	3732-hull	h u lː	dichten, Tropfen, herabfallen, abfließen, herabfallen, wiederholt, od, dauernd, fallen, Gesicht, werfen, Kniefall, tun, ausfallen, Haar, Gefieder, usw, verfallen, einstürzen, zerfallen, Stücke, gehen, umkommen, Kampfe, fallen, eingehen, Tier, Fallen, fallen, lassen, Streuen, Fallenlassen	^(h|x)?(u|ɯ|u.w.a|u.ɣ)(l)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk)?$
421	3741-huny	h u ɲ	schließen, Augen, blinzeln, schließen, Auge, untergehen, Sonne, schlummern, sterben, erlöschen, Feuer, Glanz, Spiel, ducken	^(h|x)?(u|ɯ|u.w.a|u.ɣ)(n|m)(i|y|ɛ|u)?$
422	3757-hus	h uː ʃ	Fleisch, Fruchtfleisch, Fleisch, zerschneiden	^(h|x)?(u|uː|u.ɣ|u.ɣ.u|i|o|o.ɣ|i.ɣ.u)(t͡ʃ|ɣ|ʃ|l.t͡ʃ)(i)?$
424	3761-husz	h uː s	zwanzig, Art, Geld, Art, Steuer	^(h|x)?(u|uː|u.ɣ|u.ɣ.u|i|o|o.ɣ|i.ɣ.u)(s|ʃ|z)(i)?$
425	3769-hu	h yː	treu, gläubig, getreu, genau	^(h|x)?(i.ɣ|y.ɣ|ɛ.ɣ|ɛ.ɣ.y|y)(i|y|ɛ|u|i.ɣ|a.t)?$
426	3782-huvos	h yː v ø ʃ	kühl, barsch, unfreundlich, Kühle, kühler, Ort, Gefängnis	^(h|x)?(y|yː|y.ɣ.y|ɛ.w.y|i.ɣ.i|ɛ.ɣ.i|y.ɣ|i|i.ɣ)(v|w)(ɛ|y)(t͡ʃ)$
427	3793-ideg	i d ɛ ɡ	Bogensehne, Riemen, Nerv, Saite, Sehne, ausgestattet, nervös	^(i|y|ɛ|w.i)(d|l.d|w.d|n.d)(ɛ|i|y|ø)(ɡ|k)$
428	3813-iger	iː ɡ eː r	versprechen	^(i)(ɡ)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(r)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk)?$
429	3817-igy	i ɟ	heilig	^(i|y|ɛ|w.i)(ɟ)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
430	3828-iker	i k ɛ r	zweifach, Zwillings-, Zwilling, Drilling, usw	^(i|y|ɛ|w.i)(k)(ɛ|i|y|ø|a)(r)(i|y|ɛ|u)?$
431	3868-in	iː n	Sklave	^(i)(n)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
432	3869-in	iː n	Bein, Wade, Nerv, Seil, Sehne, Muskel, Gaumen, Rachen, Ranke, Ader, Bogensehne, stark	^(i)(n)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
434	3926-ip	i p	Schwiegervater	^(i|y|ɛ|w.i)(p)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
435	3942-irigy	i r i ɟ	neidisch, neidisch	^(i|y|ɛ|w.i)(r|j.r|w.r)(i|a|y|ɛ|ɯ)(ɟ)(i)?$
436	3958-isa	i ʃ ɒ	siehe, wirklich	^(i|y|ɛ|w.i)(ʃ|t͡ʃ)(a|a.ɣ|a.w|ɒ)?(i|y)?$
437	3979-iszik	i s i k	trinken, ziehen, einsaugen, gierig, genießen, Linie, berühren, Linie, fallen, Spielen, Tränke, Trinken, Getränk, Tränke, Trinken, Getränk, Trinker, Kneipe, Trunkenbold, Durst, Trinken, flüssig, angeheitert, betrunken, Lösch-	^(i|y|ɛ|w.i)(s)(i|a|y|ɛ|ɯ)(k|ɡ)(i|y)?$
449	4116-karvaly	k ɒ r.v ɒ j	Sperber	^(k)(a|ɒ|o|a.ɣ)?(r.ɣ|r.v|r|r.y.ɣ)(a|ɒ)(l|j|ɣ.y.l)$
450	4117-kas	k ɒ ʃ	Bienenkorb, Korb, Speicher, Flechtwerk, usw, Käfig, Bergwerk, Körbchen	^(k)(a|ɒ|o|a.ɣ)?(t͡ʃ|ɣ|ʃ|l.t͡ʃ)(i|y|ɛ|u)?$
451	4118-kasa	k aː ʃ ɒ	Grütze, Brei, Wade, Mörtel, dickflüssige, od, Masse, Auflauf	^(k)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(ʃ|t͡ʃ)(a|a.ɣ|a.w|ɒ)?(i)?$
452	4130-kasza	k ɒ s ɒ	Sense, Sense, ähnl, Gegenstand, Acker, Wiese, Bein, gestellter, Haken, messer, Arg, Mäher, Mäher, Wiese	^(k)(a|ɒ|o|a.ɣ)?(s)(a|a.ɣ|a.w|ɒ)?(i|y|ɛ)?$
453	4164-kava	k aː v ɒ	Rahmen, Einfassung, Zarge, Rahmen, Öse, Leiterwagen, Unter-, bzw, Henkel, Griff, Fessel, Krater, Abgrund	^(k)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(v|w)(a|a.ɣ|a.w|ɒ)?(i)?$
454	4170-kavics	k ɒ v i t͡ʃ	Kieselstein, Kies, Schotter, geringem, Wert	^(k)(a|ɒ|o|a.ɣ)?(v|w)(i|a|y|ɛ|ɯ)(t͡ʃ|l.t͡ʃ)$
455	4176-kazar	k ɒ z aː r		^(k)(a|ɒ|o|a.ɣ)?(z|s)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(r)(i)?$
456	4182-kaba	k ɒ b ɒ	Bezeichnung, versch, Raubvögel, Baumfalke	^(k)(a|ɒ|o|a.ɣ)?(b)(a|a.ɣ|a.w|ɒ)?(i|y|ɛ)?$
