ID,Description,Entry_ID,Spacy
SekundeWinkelmaeinheit-1,Sekunde 〈Winkelmaßeinheit〉,5846-masodperc,Sekunde Winkelmaßeinheit
abandern-1,abändern,5847-masol,abändern
abschreiben-1,abschreiben,5847-masol,abschreiben
nachschreiben-1,nachschreiben,5847-masol,nachschreiben
kopieren-1,kopieren,5847-masol,kopieren
nachbilden-1,nachbilden,5847-masol,nachbilden
DeklinationGrammatik-1,Deklination 〈Grammatik〉,5847-masol,Deklination Grammatik
Nachahmung-1,Nachahmung,5847-masol,Nachahmung
Konsonant-1,Konsonant,5848-massalhangzo,Konsonant
anderswo-1,anderswo,5849-masutt,anderswo
Rotzjunge-1,Rotzjunge,5850-maszat,
unbedeutendePerson-1,unbedeutende Person,5850-maszat,unbedeutende Person
unbedeutendePerson-2,unbedeutende Person,8041-semmi,unbedeutende Person
privaterWirtschaftssektor-1,privater Wirtschaftssektor,5851-maszek,privater Wirtschaftssektor
inderPrivatwirtschafttatigerGewerbetreibender-1,in der Privatwirtschaft tätiger Gewerbetreibender,5851-maszek,in der Privatwirtschaft tätiger Gewerbetreibender
sehrgut-1,sehr gut,5851-maszek,sehr gut
einegewisseErwerbstatigkeitausuben-1,eine gewisse Erwerbstätigkeit ausüben,5851-maszek,eine gewisse Erwerbstätigkeit ausüben
klettern-1,klettern,5852-maszik,klettern
klettern-2,klettern,9033-tapaszkodik,klettern
maskiertePerson-1,maskierte Person,5853-maszk,maskierte Person
Totenmaske-1,Totenmaske,5853-maszk,Totenmaske
Gift-1,Gift,5854-maszlag,Gift
Gift-2,Gift,6075-mirigy,Gift
Gift-3,Gift,6133-mereg,Gift
Gift-4,Gift,9937-virus,Gift
vergifteteSpeise-1,vergiftete Speise,5854-maszlag,vergiftete Speise
LugundTrug-1,Lug und Trug,5854-maszlag,Lug und Trug
faulerZauber-1,fauler Zauber,5854-maszlag,fauler Zauber
faulerZauber-2,fauler Zauber,8447-suskus,fauler Zauber
berauschendesundwutendmachendesGetrank-1,berauschendes und wütend machendes Getränk,5854-maszlag,berauschendes und wütend machendes Getränk
dickflussigerStoff-1,dickflüssiger Stoff,5855-massza,dickflüssiger Stoff
Unzahl-1,Unzahl,5855-massza,Unzahl
Unzahl-2,Unzahl,7746-rengeteg,Unzahl
Unzahl-3,Unzahl,8280-sok,Unzahl
groeMenge-1,große Menge,5855-massza,große Menge
groeMenge-2,große Menge,6346-nagy,große Menge
Massage-1,Massage,5856-masszazs,Massage
herumtappen-1,herumtappen,5858-mat,
herumtappen-2,herumtappen,6269-motoszkal,
herumtappen-3,herumtappen,9041-tapogat,
kramen-1,kramen,5858-mat,kramen
kramen-2,kramen,6273-motyog,kramen
kramen-3,kramen,8672-szemerkel,kramen
kramen-4,kramen,9704-vakar,kramen
hochsterKartentrumpf-1,höchster Kartentrumpf,5859-matador,höchster Kartentrumpf
Sieger-1,Sieger,5859-matador,Sieger
MeisterineinemSpiel-1,Meister 〈in einem Spiel〉,5859-matador,Meister in einem Spiel
MatadorimspanischenStierkampf-1,Matador 〈im spanischen Stierkampf〉,5859-matador,Matador im spanischen Stierkampf
Rohseide-1,Rohseide,5860-matasz,Rohseide
Seidenfaden-1,Seidenfaden,5860-matasz,Seidenfaden
Mathematiker-1,Mathematiker,5861-matematikus,Mathematiker
mathematisch-1,mathematisch,5861-matematikus,mathematisch
StoffGewebe-1,Stoff 〈Gewebe〉,5862-materia,Stoff Gewebe
Lehrstoff-1,Lehrstoff,5862-materia,Lehrstoff
Matinee-1,Matinee,5863-matine,Matinee
VerlobtehauptsdieBraut-1,Verlobte 〈haupts die Braut〉,5864-matka,Verlobte haupts die Braut
derzuPfingstenvoneinemMadcheneinEibekommt-1,der zu Pfingsten von einem Mädchen ein Ei bekommt,5864-matka,der zu Pfingsten von einem Mädchen ein Ei bekommt
MatrizeTypographie-1,Matrize 〈Typographie〉,5866-matrica,Matrize Typographie
Abziehbild-1,Abziehbild,5866-matrica,Abziehbild
Majoran-1,Majoran,5867-majoranna,Majoran
Allodialgut-1,Allodialgut,5868-majorsag,
WirtschaftineinemMeierhof-1,Wirtschaft in einem Meierhof,5868-majorsag,Wirtschaft in einem Meierhof
Landwirtschaft-1,Landwirtschaft,5868-majorsag,Landwirtschaft
Kleinvieh-1,Kleinvieh,5868-majorsag,Kleinvieh
sudeln-1,sudeln,5869-majszol,
Handwerksmeister-1,Handwerksmeister,5870-majszter,Handwerksmeister
Handwerksmeister-2,Handwerksmeister,6153-mester,Handwerksmeister
Klatschmohn-1,Klatschmohn,5872-mak,Klatschmohn
Mohnsaft-1,Mohnsaft,5872-mak,
Opiumheutehauptsabstr-1,Opium 〈heute haupts abstr〉,5872-mak,Opium heute haupts abstr
verschlossen-1,verschlossen,5873-makacs,verschlossen
reserviert-1,reserviert,5873-makacs,reserviert
Makadam-1,Makadám,5874-makadam,
Makkaroni-1,Makkaroni,5875-makaroni,Makkaroni
makkaronischDichtung-1,makkaronisch 〈Dichtung〉,5875-makaroni,makkaronisch Dichtung
BaumusterinverkleinertemMastab-1,Baumuster in verkleinertem Maßstab,5876-makett,Baumuster in verkleinertem Maßstab
Druckvorlage-1,Druckvorlage,5876-makett,Druckvorlage
Einbandmuster-1,Einbandmuster,5876-makett,
FruchtderEiche-1,Frucht der Eiche,5877-makk,Frucht der Eiche
EicheldesmannlichenGliedes-1,Eichel des männlichen Gliedes,5877-makk,Eichel des männlichen Gliedes
EichelalsSpielkartenfarbe-1,Eichel als Spielkartenfarbe,5877-makk,Eichel als Spielkartenfarbe
alsBenennungeicheiformigerGegenstande-1,〈als Benennung eicheiförmiger Gegenstände〉,5877-makk,als Benennung eicheiförmiger Gegenstände
Schliefrucht-1,Schließfrucht,5877-makk,
quakenodahnlTonevonsichgebenTiere-1,quäken od ähnl Töne von sich geben 〈Tiere,5878-makog,quäken od ähnl Töne von sich geben Tiere
hauptsHase-1,haupts Hase,5878-makog,haupts Hase
tollkuhn-1,tollkühn,5879-makrancos,tollkühn
tollkuhn-2,tollkühn,8261-snajdig,tollkühn
tollkuhn-3,tollkühn,9705-vakmero,tollkühn
kurzeTabakspfeifeausTon-1,kurze Tabakspfeife aus Ton,5880-makrapipa,kurze Tabakspfeife aus Ton
moralischerMakel-1,moralischer Makel,5881-makula,moralischer Makel
moralischerMakel-2,moralischer Makel,8311-somor,moralischer Makel
korperlicherFleck-1,körperlicher Fleck,5881-makula,körperlicher Fleck
Makulatur-1,Makulatur,5882-makulatura,Makulatur
Bergabhang-1,Bergabhang,5883-mal,
WammeeinesTiers-1,Wamme eines Tiers,5883-mal,Wamme eines Tiers
Schmierfink-1,Schmierfink,5884-malac,
sumpfigesGestrauch-1,sumpfiges Gesträuch,5885-malagy,sumpfiges Gesträuch
ArtWeidenbaum-1,Art Weidenbaum,5885-malagy,Art Weidenbaum
Weidenwald-1,Weidenwald,5885-malagy,
Malaie-1,Malaie,5886-malaj,
malaiisch-1,malaiisch,5886-malaj,malaiisch
Malaria-1,Malaria,5888-malaria,Malaria
GnadeReligion-1,Gnade 〈Religion〉,5889-malaszt,Gnade Religion
Malz-1,Malz,5890-malata,Malz
Malz-2,Malz,8528-szalad,Malz
Malz-3,Malz,8528-szalad,Malz
Malz-4,Malz,9931-virics,Malz
Trester-1,Trester,5890-malata,Trester
Hirsebrei-1,Hirsebrei,5891-male,Hirsebrei
FladenausHirsemehl-1,Fladen aus Hirsemehl,5891-male,Fladen aus Hirsemehl
Maisbrei-1,Maisbrei,5891-male,Maisbrei
Maisbrei-2,Maisbrei,5902-mamaliga,Maisbrei
Maiskuchen-1,Maiskuchen,5891-male,
Maiskuchen-2,Maiskuchen,7495-prosza,
Maiskuchen-3,Maiskuchen,7534-puliszka,
Maisschrot-1,Maisschrot,5891-male,
Maismehl-1,Maismehl,5891-male,Maismehl
Reisesack-1,Reisesack,5892-malha,
GepackeinesReisenden-1,Gepäck eines Reisenden,5892-malha,Gepäck eines Reisenden
Heeresgepack-1,Heeresgepäck,5892-malha,
verwittern-1,verwittern,5895-mallik,verwittern
verwittern-2,verwittern,8046-senyved,verwittern
verwittern-3,verwittern,9789-vedlik,verwittern
brockeln-1,bröckeln,5895-mallik,bröckeln
brockeln-2,bröckeln,7915-roncsol,bröckeln
bluhen-1,blühen,5895-mallik,blühen
bluhen-2,blühen,9925-virag,blühen
bluhen-3,blühen,9936-virul,blühen
Himbeerstrauch-1,Himbeerstrauch,5896-malna,
Brombeere-1,Brombeere,5896-malna,Brombeere
Brombeere-2,Brombeere,8618-szeder,Brombeere
Himbeersaft-1,Himbeersaft,5896-malna,Himbeersaft
MuhlealsAnlage-1,Mühle als Anlage,5897-malom,Mühle als Anlage
ArtBrettspiel-1,Art Brettspiel,5897-malom,Art Brettspiel
ArtBrettspiel-2,Art Brettspiel,6740-ostabla,Art Brettspiel
ArtBrettspiel-3,Art Brettspiel,8107-sakk,Art Brettspiel
FigurindiesemSpiel-1,Figur in diesem Spiel,5897-malom,Figur in diesem Spiel
inderSportsprzurBenennungverschkreisformigerBewegungenmitdenArmenbzwBeinen-1,〈in der Sportspr zur Benennung versch kreisförmiger Bewegungen mit den Armen bzw Beinen〉,5897-malom,in der Sportspr zur Benennung versch kreisförmiger Bewegungen mit den Armen bzw Beinen
dieDaumenubereinanderimKreisebewegen-1,die Daumen übereinander im Kreise bewegen,5897-malom,die Daumen übereinander im Kreise bewegen
Malve-1,Malve,5899-malyva,Malve
Pelargonie-1,Pelargonie,5899-malyva,
